client_id,duration_count,duration_mean,Class
82723,3.0,19.833333333333332,Fast Repeater
82772,1.0,20.4,Fast Passer
82869,1.0,28.4,Fast Passer
83158,1.0,23.0,Fast Passer
83447,3.0,15.357142857142858,Fast Repeater
83507,1.0,14.6,Fast Passer
83585,1.0,28.6,Fast Passer
83683,1.0,999.0,Slow Passer
83795,2.0,607.7,Slow Repeater
84108,1.0,46.2,Slow Passer
84464,1.0,20.5,Fast Passer
84480,1.5,21.333333333333336,Fast Repeater
84596,2.0,999.0,Slow Repeater
84624,1.0,36.0,Slow Passer
84658,1.0,16.733333333333334,Fast Passer
84976,2.5,513.0,Slow Repeater
85097,3.0,17.4,Fast Repeater
85286,4.0,23.571428571428573,Fast Repeater
85515,2.0,17.13888888888889,Fast Repeater
85793,1.0,27.77777777777778,Fast Passer
86035,1.0,45.0,Slow Passer
86499,1.0,27.285714285714285,Fast Passer
86616,1.0,20.5,Fast Passer
86699,5.0,25.2,Fast Repeater
86780,2.0,29.0,Fast Repeater
86877,4.0,13.11111111111111,Fast Repeater
87162,1.0,516.0,Slow Passer
87218,1.0,10.333333333333332,Fast Passer
87300,2.0,3.5,Fast Repeater
87424,1.0,30.5,Slow Passer
87449,1.0,27.8,Fast Passer
87915,2.5,503.5,Slow Repeater
88378,2.0,9.666666666666666,Fast Repeater
88723,1.0,513.7,Slow Passer
88759,1.0,53.25,Slow Passer
88986,1.0,5.0,Fast Passer
89039,3.0,20.75,Fast Repeater
89052,1.0,14.0,Fast Passer
89116,1.0,24.4,Fast Passer
89257,2.5,999.0,Slow Repeater
89604,1.0,25.2,Fast Passer
89645,2.0,12.0,Fast Repeater
89693,1.0,33.4,Slow Passer
89812,4.0,999.0,Slow Repeater
89959,5.0,9.0,Fast Repeater
90324,3.0,20.0,Fast Repeater
90360,1.0,33.8,Slow Passer
90383,1.0,999.0,Slow Passer
90596,1.0,25.3,Fast Passer
91110,1.5,27.125,Fast Repeater
91254,1.0,27.0,Fast Passer
91443,1.0,49.75,Slow Passer
91633,2.0,25.833333333333332,Fast Repeater
92066,1.0,39.166666666666664,Slow Passer
92137,1.0,27.2,Fast Passer
92665,1.0,54.333333333333336,Slow Passer
92808,1.5,20.433333333333334,Fast Repeater
92864,1.0,2.0,Fast Passer
93127,2.0,509.7142857142857,Slow Repeater
93137,1.0,19.4,Fast Passer
93370,2.0,999.0,Slow Repeater
93480,1.0,28.0,Fast Passer
93610,5.0,24.5,Fast Repeater
93751,2.5,520.0,Slow Repeater
93870,2.0,25.818181818181817,Fast Repeater
93915,2.0,15.85,Fast Repeater
94234,1.0,30.25,Slow Passer
94510,1.0,19.666666666666668,Fast Passer
94552,1.6666666666666667,16.226190476190478,Fast Repeater
94662,1.6666666666666667,348.2063492063492,Slow Repeater
94767,1.0,22.0,Fast Passer
94778,1.0,49.5,Slow Passer
94914,1.0,999.0,Slow Passer
95035,3.0,22.666666666666668,Fast Repeater
95199,1.0,24.0,Fast Passer
95453,2.0,12.11111111111111,Fast Repeater
96190,1.0,38.25,Slow Passer
96548,1.0,21.666666666666668,Fast Passer
96787,4.0,20.444444444444443,Fast Repeater
96845,1.0,22.0,Fast Passer
97147,2.0,38.0,Slow Repeater
97170,1.0,19.0,Fast Passer
97322,1.0,999.0,Slow Passer
97424,1.0,24.8,Fast Passer
97590,2.0,14.2,Fast Repeater
97723,1.0,25.6,Fast Passer
97966,4.0,12.777777777777779,Fast Repeater
98248,2.0,501.5,Slow Repeater
98337,1.0,20.0,Fast Passer
98860,1.0,12.6,Fast Passer
99149,1.0,24.2,Fast Passer
99208,1.0,41.25,Slow Passer
99811,2.0,36.166666666666664,Slow Repeater
100118,5.0,999.0,Slow Repeater
100250,1.0,22.0,Fast Passer
100503,2.0,40.333333333333336,Slow Repeater
100888,1.0,32.0,Slow Passer
100940,2.0,345.3333333333333,Slow Repeater
101143,2.0,999.0,Slow Repeater
101220,2.0,999.0,Slow Repeater
101246,1.5,999.0,Slow Repeater
101818,1.0,27.25,Fast Passer
102859,3.0,999.0,Slow Repeater
102884,2.0,509.875,Slow Repeater
103515,1.0,26.25,Fast Passer
103622,3.0,19.125,Fast Repeater
103627,1.0,22.8,Fast Passer
103669,2.0,22.333333333333332,Fast Repeater
104190,2.5,21.133333333333333,Fast Repeater
104328,1.0,16.5,Fast Passer
104643,1.0,999.0,Slow Passer
104781,1.0,7.8,Fast Passer
104884,1.5,511.0625,Slow Repeater
104972,1.0,25.2,Fast Passer
105007,1.0,999.0,Slow Passer
105026,2.0,39.2,Slow Repeater
105357,1.0,46.25,Slow Passer
105360,1.0,28.666666666666668,Fast Passer
105623,3.0,33.857142857142854,Slow Repeater
106102,1.0,999.0,Slow Passer
106137,1.5,999.0,Slow Repeater
106457,2.25,761.0833333333334,Slow Repeater
106501,1.0,35.666666666666664,Slow Passer
108335,2.3333333333333335,672.25,Slow Repeater
108419,3.0,30.857142857142858,Slow Repeater
108438,3.0,18.0,Fast Repeater
108892,1.0,33.0,Slow Passer
109175,1.0,13.5,Fast Passer
109413,1.0,8.5,Fast Passer
109465,1.0,11.5,Fast Passer
109662,3.0,28.555555555555557,Fast Repeater
109859,1.0,522.1666666666666,Slow Passer
109932,1.3333333333333333,17.433333333333334,Fast Repeater
110028,2.0,32.8,Slow Repeater
110212,2.0,24.6,Fast Repeater
110288,2.0,999.0,Slow Repeater
110772,2.0,38.111111111111114,Slow Repeater
110890,1.0,22.0,Fast Passer
111012,1.0,19.433333333333334,Fast Passer
111162,3.0,2.4,Fast Repeater
111304,1.0,24.75,Fast Passer
111477,1.0,2.0,Fast Passer
112128,1.0,27.5,Fast Passer
112766,1.3333333333333333,37.88888888888889,Slow Repeater
113597,3.0,23.5,Fast Repeater
113852,1.0,33.0,Slow Passer
113903,1.0,509.8333333333333,Slow Passer
113951,2.0,29.4,Fast Repeater
113964,2.75,999.0,Slow Repeater
114459,2.0,20.166666666666668,Fast Repeater
114541,1.0,15.5,Fast Passer
114542,1.0,30.2,Slow Passer
114566,1.0,31.0,Slow Passer
114780,1.0,999.0,Slow Passer
115163,1.0,31.857142857142858,Slow Passer
115570,1.0,16.4,Fast Passer
115597,1.0,6.5,Fast Passer
115834,7.0,4.7,Fast Repeater
115839,1.0,999.0,Slow Passer
115973,1.0,11.5,Fast Passer
116248,1.0,2.0,Fast Passer
116345,1.0,27.333333333333332,Fast Passer
116384,1.0,30.4,Slow Passer
116505,3.0,999.0,Slow Repeater
116682,1.0,999.0,Slow Passer
116693,1.0,15.2,Fast Passer
117032,3.25,262.4375,Slow Repeater
117276,1.0,28.6,Fast Passer
117457,1.0,30.0,Fast Passer
117520,1.0,33.8,Slow Passer
117621,1.0,17.25,Fast Passer
117883,2.0,999.0,Slow Repeater
117916,2.0,45.0,Slow Repeater
117979,1.0,501.25,Slow Passer
118358,1.0,36.25,Slow Passer
118415,1.0,37.6,Slow Passer
118446,1.0,45.38333333333333,Slow Passer
118576,1.0,28.333333333333332,Fast Passer
118723,2.0,10.875,Fast Repeater
118964,1.0,36.375,Slow Passer
118966,3.0,11.625,Fast Repeater
119006,3.0,16.5,Fast Repeater
119599,2.0,3.25,Fast Repeater
119634,2.0,7.321428571428571,Fast Repeater
120089,3.0,22.0,Fast Repeater
120309,1.0,23.5,Fast Passer
120351,1.0,36.5,Slow Passer
120660,1.0,20.6,Fast Passer
120830,3.0,21.333333333333332,Fast Repeater
120872,1.5,17.0,Fast Repeater
121029,1.0,27.0,Fast Passer
121238,1.0,67.5,Slow Passer
121354,1.0,25.0,Fast Passer
121536,2.0,13.916666666666666,Fast Repeater
121672,3.0,13.142857142857142,Fast Repeater
122093,1.0,17.75,Fast Passer
122493,1.0,23.333333333333332,Fast Passer
122526,2.0,11.75,Fast Repeater
122790,1.0,26.0,Fast Passer
123141,1.0,32.25,Slow Passer
123311,1.0,17.75,Fast Passer
123552,2.0,8.75,Fast Repeater
123853,3.0,999.0,Slow Repeater
124118,1.0,36.833333333333336,Slow Passer
124572,1.0,46.25,Slow Passer
124614,1.0,34.4,Slow Passer
124624,1.0,30.8,Slow Passer
124646,2.0,3.3333333333333335,Fast Repeater
124916,2.0,17.285714285714285,Fast Repeater
125022,1.0,40.857142857142854,Slow Passer
125124,3.0,25.0,Fast Repeater
125273,1.0,999.0,Slow Passer
125305,1.0,21.0,Fast Passer
125679,1.0,19.75,Fast Passer
125750,1.0,5.333333333333333,Fast Passer
126090,2.0,338.03333333333336,Slow Repeater
126171,1.0,51.0,Slow Passer
126259,1.0,16.333333333333332,Fast Passer
126285,2.0,28.666666666666668,Fast Repeater
126288,1.0,44.75,Slow Passer
126309,2.0,25.4,Fast Repeater
126524,1.0,22.0,Fast Passer
126758,1.0,53.0,Slow Passer
126759,1.0,39.25,Slow Passer
126853,1.0,40.5,Slow Passer
126893,1.0,999.0,Slow Passer
127331,2.0,49.857142857142854,Slow Repeater
127396,1.0,31.2,Slow Passer
127477,1.0,28.0,Fast Passer
127825,1.0,43.0,Slow Passer
127921,1.0,40.0,Slow Passer
128147,2.0,24.5,Fast Repeater
128230,2.0,19.5,Fast Repeater
128801,2.0,524.5,Slow Repeater
128919,1.0,62.5,Slow Passer
128983,3.0,4.6,Fast Repeater
129549,1.0,510.1666666666667,Slow Passer
129659,1.0,11.0,Fast Passer
130031,1.0,523.875,Slow Passer
130452,2.0,18.181818181818183,Fast Repeater
130952,6.0,25.645454545454548,Fast Repeater
131064,7.0,3.0,Fast Repeater
131973,4.0,999.0,Slow Repeater
132547,1.0,32.0,Slow Passer
133096,2.0,24.55,Fast Repeater
133101,1.0,16.333333333333332,Fast Passer
133340,2.0,23.8,Fast Repeater
133394,2.0,15.799999999999999,Fast Repeater
133471,1.0,22.4,Fast Passer
133487,2.0,16.166666666666668,Fast Repeater
133522,2.0,14.433333333333334,Fast Repeater
133565,1.0,999.0,Slow Passer
133631,1.0,31.6,Slow Passer
133742,1.0,31.25,Slow Passer
133779,3.0,32.0,Slow Repeater
134164,1.0,999.0,Slow Passer
134207,1.0,38.333333333333336,Slow Passer
134282,1.0,33.4,Slow Passer
134286,1.0,515.0,Slow Passer
134582,3.0,23.666666666666668,Fast Repeater
134657,2.0,71.8,Slow Repeater
134829,1.0,37.5,Slow Passer
135199,1.0,26.25,Fast Passer
135254,1.3333333333333333,753.0138888888888,Slow Repeater
135842,1.0,6.333333333333333,Fast Passer
